distance_to_subject,prop_type,stories,address,city_province,sale_date,sale_price,dom,location_similarity,lot_size,age,condition,gla,room_count,bed_count,bath_count,basement_finish,parking,neighborhood,orderID,distance_to_subject_clean,sale_date_clean,lot_size_clean,gla_clean,room_count_clean,bedrooms_clean,bathrooms_clean,property_type_clean,stories_clean
0.15 KM,Townhouse,2 Storey,930 Amberdale Cres,Kingston ON K7M 6V1,Oct/25/2024,"378,900",38,Similar,N/A Condominium,49,Superior,1044 SqFt,6,3,2:0,Full/Finished,No Garage,,4762597,0.15,2024-10-25,,1044.0,6.0,3.0,2.0,Townhouse,2 Storey
0.02 KM,Townhouse,2 Storey,771 Ashwood Dr,Kingston ON K7M 6X7,Feb/05/2025,"327,000",51,Inferior,N/A Condominium,49,Inferior,1044 SqFt,6,3,1:0,Full/Finished,No Garage,,4762597,0.02,2025-02-05,,1044.0,6.0,3.0,1.0,Townhouse,2 Storey
0.09 KM,Townhouse,2 Storey,995 Amberdale Cres,Kingston ON K7M 6X6,Feb/14/2025,"315,000",95,Inferior,N/A Condominium,49,Inferior,1044 SqFt,6,3,2:0,Full/Part Finished,No Garage,,4762597,0.09,2025-02-14,,1044.0,6.0,3.0,2.0,Townhouse,2 Storey
3.73 KM,Detached,1 Storey,64 Deermist Dr,Porters Lake NS B3E 1P3,Jan/16/2025,"800,000",141+/-,Inferior,80212+/-SqFt,11+/-,Similar,1602+/-SqFt,6,3,2:0,Full/Finished,Dbl. Att. Gar.,,4762739,3.73,2025-01-16,80212.0,1602.0,6.0,3.0,2.0,Detached,1 Storey
8.98 KM,Detached,1 Storey,85 Oceanic Dr,East Lawrencetown NS B2Z 1T6,Dec/21/2024,"950,000",280+/-,Inferior,61700+/-SqFt,11+/-,Good,2100+/-SqFt,6,3,2:0,Full/Finished,1.5Att.Gar./Dbl.Att.Gar.,,4762739,8.98,2024-12-21,61700.0,2100.0,6.0,3.0,2.0,Detached,1 Storey
17.33 KM,Detached,1.5 Storey,270 Quinlan Dr,Head of Jeddore NS B0J 1P0,Nov/23/2024,"829,900",47+/-,Similar,48200+/-SqFt,12+/-,Good,1662+/-SqFt,5,2,2:0,Full/Part Finished,Driveway,,4762739,17.33,2024-11-23,48200.0,1662.0,5.0,2.0,2.0,Detached,1.5 Storey
0.31 KM,Detached,2 Storey,6 Marshall Ave,Ayr ON N0B 1E0,Mar/26/2025,"1,150,000",7+/-,Similar,15116 sqft,58 +/-,Superior,2003 SqFt,8,4,2F1P,Rec Room,Dbl. Att. Gar.,,4763065,0.31,2025-03-26,15116.0,2003.0,8.0,4.0,2.5,Detached,2 Storey
0.50 KM,Detached,2 Storey,3219 Roseville Rd,Ayr ON N0B 1E0,Dec/24/2024,"1,130,000",40 +/-,Inferior,11138 sqft,1+/-,Superior,2940 SqFt,8,4,3F1P,Rec Room,Dbl. Att. Gar.,,4763065,0.5,2024-12-24,11138.0,2940.0,8.0,4.0,3.5,Detached,2 Storey
23.23 KM,Detached,2 Storey,13 James Crt,Heidelberg ON N0B 2M1,Apr/16/2025,"1,220,000",6 +/-,Superior,29200 sqft,40 +/-,Average,2365 SqFt,7,3,2F1P,Rec/Bath,Dbl. Att. Gar.,,4763065,23.23,2025-04-16,29200.0,2365.0,7.0,3.0,2.5,Detached,2 Storey
0.78 KM,Detached,Bungalow,48 Stonewalk Dr,Kemptville ON K0G 1J0,Feb/20/2025,"812,000",8 +/-,Similar,390x195 / 1.85 Acres,2018 +/-,Inferior,1571 SqFt,6,3,2:0,Full/Part Finished,Dbl. Att. Gar.,,4763086,0.78,2025-02-20,76050.0,1571.0,6.0,3.0,2.0,Detached,Bungalow
0.53 KM,Detached,Bungalow,36 Stonewalk Dr,Kemptville ON K0G 1J0,Oct/11/2024,"855,000",8 +/-,Similar,225x217 /1.24 Acres,2011 +/-,Inferior,1610 SqFt,6,3,2:1,Full/Finished,Dbl. Att. Gar.,,4763086,0.53,2024-10-11,48825.0,1610.0,6.0,3.0,2.5,Detached,Bungalow
0.99 KM,Detached,2 Storey,56 Stonewalk Dr,Kemptville ON K0G 1J0,Feb/17/2025,"920,000",13 +/-,Similar,190x403 / 2 Acres,1976 +/-,Similar,1976 SqFt,8,5,4:0,Full/Finished,Dbl. Att. Gar.,,4763086,0.99,2025-02-17,76570.0,1976.0,8.0,5.0,4.0,Detached,2 Storey
0.00 KM,Condominium,1 Storey,801-105 Dunbrack St,Halifax NS B3M 3G7,Apr/15/2025,"380,000",2+/-,Similar,CONDO - N/A,47yrs+/-,Inferior,1048 SqFt,5,2,1:0,,"1, Surface Stall",,4763087,0.0,2025-04-15,,1048.0,5.0,2.0,1.0,Condominium,1 Storey
1.43 KM,Condominium,1 Storey,210-40 Regency Park Dr,Halifax NS B3S 1L4,Feb/18/2025,"475,000",19+/-,Similar,CONDO - N/A,25yrs+/-,Similar,1553 SqFt,6,2,2:0,,"1, Undgrnd. Stall",,4763087,1.43,2025-02-18,,1553.0,6.0,2.0,2.0,Condominium,1 Storey
4.97 KM,Condominium,1 Storey,313-79 Bedros Lane,Halifax NS B3M 4X5,Dec/13/2024,"520,000",62+/-,Superior,CONDO - N/A,19yrs+/-,Superior,1483 SqFt,6,3,2:0,,"1, Undgrnd. Stall",,4763087,4.97,2024-12-13,,1483.0,6.0,3.0,2.0,Condominium,1 Storey
0.38 KM,Detached,4 Level Split,123 Crestwood Pl,Dartmouth NS B2V 2P5,Apr/14/2025,"703,850",2+/-,Similar,7726+/-SqFt,36+/-,Superior,2100+/-SqFt,8,4,2:1,Part/Full Finished,Sgl. Att. Gar.,,4764094,0.38,2025-04-14,7726.0,2100.0,8.0,4.0,2.5,Detached,Split Level
1.03 KM,Detached,3 Level Split,38 Deerbrooke Dr,Dartmouth NS B2V 1W3,Dec/13/2024,"620,000",1+/-,Inferior,7623+/-SqFt,45+/-,Similar,1688+/-SqFt,6,3,1:1,Full/Finished,Sgl. Bin. Gar,,4764094,1.03,2024-12-13,7623.0,1688.0,6.0,3.0,1.5,Detached,Split Level
0.23 KM,Detached,2 Storey,18 Becks Way,Dartmouth NS B2V 2C3,Nov/18/2024,"662,000",54+/-,Similar,9110+/-SqFt,39+/-,Inferior,2298+/-SqFt,8,3,2:1,Full/Finished,Sgl. Att. Gar.,,4764094,0.23,2024-11-18,9110.0,2298.0,8.0,3.0,2.5,Detached,2 Storey
0.64 KM,Semi Detached,2 Storey,128 Donegall Dr,East York ON M4G 3G8,Mar/31/2025,"1,680,000",7,Similar,2604 SqFt,95,Similar,1306 SqFt,7,3,2:0,Full/Finished,,,4764103,0.64,2025-03-31,2604.0,1306.0,7.0,3.0,2.0,Semi Detached,2 Storey
0.54 KM,Semi Detached,2 Storey,142 Donlea Dr,East York ON M4G 2M8,Mar/23/2025,"1,520,000",5,Inferior,3348 SqFt,77,Inferior,1334 SqFt,6,3,2:0,Full/Finished,Sgl. Det. gar.,,4764103,0.54,2025-03-23,3348.0,1334.0,6.0,3.0,2.0,Semi Detached,2 Storey
1.27 KM,Semi Detached,2 Storey,138 Banff Rd,Toronto ON M4P 2P5,Dec/05/2024,"1,600,000",3,Similar,1936 SqFt,81,Similar,1120 SqFt,6,3,2:0,Full/Finished,Sgl. Att. Gar.,,4764103,1.27,2024-12-05,1936.0,1120.0,6.0,3.0,2.0,Semi Detached,2 Storey
0.15 KM,Townhouse,2 Storey,655 Allied Mews,Stittsville ON K2S 3A1,Dec/09/2024,"705,000",17 +/-,Similar,35Fx86F/ 2992 SqFt,2022,Average,1802 SqFt,8,4,2F1H,Full/Finished,Sgl. Att. Gar.,,4761696,0.15,2024-12-09,2992.0,1802.0,8.0,4.0,2.5,Townhouse,2 Storey
3.54 KM,Townhouse,2 Storey,514 Triangle St,Stittsville ON K2V 0M8,Mar/29/2025,"755,000",1 +/-,Similar,25Fx100F/ 2893 SqFt,2021,Good,2131 SqFt,7,3,2F1H,Full/Finished,Sgl. Att. Gar.,,4761696,3.54,2025-03-29,2893.0,2131.0,7.0,3.0,2.5,Townhouse,2 Storey
3.43 KM,Townhouse,2 Storey,225 Lift Lane,Stittsville ON K2V 0M7,Mar/29/2025,"768,800",23 +/-,Similar,55x126/4230 SqFt,2020,Good,1758 SqFt,7,3,2F1H,Full/Finished,Dbl. Att. Gar.,,4761696,3.43,2025-03-29,4230.0,1758.0,7.0,3.0,2.5,Townhouse,2 Storey
6.41 KM,Condominium,1 Storey,306-79 Bedros Lane,Halifax NS B3M 4X5,Feb/24/2025,"720,000",5+/-,Similar,N/A - Condo,20+/-,Inferior,1816+/-SqFt,7,2,2:0,,"1, Undgrnd. Stall",,4762154,6.41,2025-02-24,,1816.0,7.0,2.0,2.0,Condominium,1 Storey
0.00 KM,Condominium,2 Storey,401-11 Springvale Ave,Halifax NS B3N 0A3,Nov/21/2024,"900,000",23+/-,Inferior,N/A - Condo,19+/-,Superior,2206+/-SqFt,7,2,2:0,,"2, Undgrnd. Stalls",,4762154,0.0,2024-11-21,,2206.0,7.0,2.0,2.0,Condominium,2 Storey
0.00 KM,Condominium,1 Storey,111-11 Springvale Ave,Halifax NS B3N 0A3,Oct/18/2024,"720,000",0+/-,Inferior,N/A - Condo,17+/-,Inferior,1342+/-SqFt,6,2,2:0,,"1, Undgrnd. Stall",,4762154,0.0,2024-10-18,,1342.0,6.0,2.0,2.0,Condominium,1 Storey
